Umur,Penghasilan,Jangka Perpindahan,Kualitas Barang,Kesadaran Limbah,Distances_to_c1,Distances_to_c2,Distances_to_c3,Cluster
24,9,5,2,1,0.9574271077563383,5.359104402789705,5.680810236072986,1
23,8,4,1,2,1.4999999999999998,4.485532298401161,4.1020922093277195,1
21,9,5,2,2,3.0956959368344514,6.536053855347277,5.103859590158156,1
26,9,5,2,1,2.217355782608345,5.43323108288245,6.818638218918338,1
27,8,3,1,2,3.4999999999999996,4.638965401897281,6.687006010369369,1
23,9,5,2,2,1.2583057392117918,5.6142675390472805,5.3171049395579555,1
