Umur,Penghasilan,Jangka Perpindahan,Kualitas Barang,Kesadaran Limbah,Distances_to_c1,Distances_to_c2,Distances_to_c3,Cluster
21,4,3,1,1,5.823801736552048,3.862641583165594,0.7777777777777768,3
22,5,5,1,1,4.3108390521258535,3.4234485537247386,2.0397288611873137,3
19,2,3,1,2,8.5,6.190315016216864,3.4390638978982566,3
19,3,5,1,1,7.632168761236874,6.125357132445422,3.3407325285273117,3
23,6,2,2,1,3.862210075418822,3.117691453623979,2.737485554389983,3
23,4,3,1,2,5.0579969684978385,1.9798989873223338,1.7141387356157252,3
22,6,2,2,1,4.232808366400097,3.7841775856849003,2.3200681130912337,3
21,3,3,1,2,6.626965117357014,4.014971979976947,1.5436048877166444,3
23,6,3,1,2,3.304037933599834,2.8142494558940583,2.36747508362917,3
